pdbid	affinity
1a30	4.30
1bcu	3.28
1bzc	4.92
1c5z	4.01
1e66	9.89
1eby	9.70
1g2k	7.96
1gpk	5.37
1gpn	6.48
1h22	9.10
1h23	8.35
1k1i	6.58
1lpg	7.09
1mq6	11.15
1nc1	6.12
1nc3	5.00
1nvq	8.25
1o0h	5.92
1o3f	7.96
1o5b	5.77
1owh	7.40
1oyt	7.24
1p1n	6.80
1p1q	4.89
1ps3	2.28
1pxn	7.15
1q8t	4.76
1q8u	5.96
1qf1	7.32
1qkt	9.04
1r5y	6.46
1s38	5.15
1sqa	9.21
1syi	5.44
1u1b	7.80
1uto	2.27
1vso	4.72
1w4o	5.22
1y6r	10.11
1yc1	6.17
1ydr	5.52
1ydt	7.32
1z6e	9.72
1z95	7.12
1z9g	5.64
2al5	8.40
2br1	5.14
2brb	4.86
2c3i	7.60
2cbv	5.48
2cet	8.02
2fvd	8.52
2fxs	6.06
2hb1	3.80
2iwx	6.68
2j78	6.42
2j7h	7.19
2p15	10.30
2p4y	9.00
2pog	9.54
2qbp	8.40
2qbq	7.44
2qbr	6.33
2qe4	7.96
2qnq	6.11
2r9w	5.10
2v00	3.66
2v7a	8.30
2vkm	8.74
2vvn	7.30
2vw5	8.52
2w4x	4.85
2w66	4.05
2wbg	4.45
2wca	5.60
2weg	6.50
2wer	7.05
2wn9	8.52
2wnc	6.32
2wtv	8.74
2wvt	6.12
2x00	11.33
2xb8	7.59
2xbv	8.43
2xdl	3.10
2xii	7.20
2xj7	6.66
2xnb	6.83
2xys	7.42
2y5h	5.79
2yfe	6.63
2yge	5.06
2yki	9.46
2ymd	3.16
2zb1	6.32
2zcq	8.82
2zcr	6.87
2zda	8.40
2zy1	7.40
3acw	4.76
3ag9	8.05
3ao4	2.07
3arp	7.15
3arq	6.40
3aru	3.22
3arv	5.64
3ary	6.00
3b1m	8.48
3b27	5.16
3b5r	8.77
3b65	9.27
3b68	8.40
3bgz	6.26
3bv9	5.36
3cj4	6.51
3coy	6.02
3coz	5.57
3d4z	4.89
3d6q	3.76
3dd0	9.00
3dx1	3.58
3dx2	6.82
3dxg	2.40
3e5a	8.23
3e92	8.00
3e93	8.85
3ebp	5.91
3ehy	5.85
3ejr	8.57
3f3a	4.19
3f3c	6.02
3f3d	7.16
3f3e	7.70
3fcq	2.77
3fur	8.00
3fv1	9.30
3fv2	8.11
3g0w	9.52
3g2n	4.09
3g2z	2.36
3g31	2.89
3gbb	6.90
3gc5	7.26
3ge7	8.70
3gnw	9.10
3gr2	2.52
3gv9	2.12
3gy4	5.10
3ivg	4.30
3jvr	5.72
3jvs	6.54
3jya	6.89
3k5v	6.30
3kgp	2.57
3kr8	8.10
3kwa	4.08
3l7b	2.40
3lka	2.82
3mss	4.66
3myg	10.70
3n76	6.85
3n7a	3.70
3n86	5.64
3nq9	4.03
3nw9	9.00
3nx7	8.10
3o9i	11.82
3oe4	7.47
3oe5	6.88
3ozs	5.33
3ozt	4.13
3p5o	7.26
3prs	7.82
3pww	7.32
3pxf	4.43
3pyy	6.86
3qgy	7.80
3qqs	5.82
3r88	4.82
3rlr	7.52
3rr4	4.55
3rsx	4.41
3ryj	7.80
3syr	5.10
3tsk	7.17
3twp	3.92
3u5j	5.61
3u8k	8.66
3u8n	10.17
3u9q	4.38
3udh	2.85
3ueu	5.24
3uev	5.89
3uew	6.31
3uex	6.92
3ui7	9.00
3uo4	6.52
3up2	7.40
3uri	9.00
3utu	10.92
3uuo	7.96
3wtj	6.53
3wz8	5.82
3zdg	7.10
3zso	5.12
3zsx	3.28
3zt2	2.84
4abg	3.57
4agn	3.97
4agp	4.69
4agq	5.01
4bkt	3.62
4cig	3.67
4ciw	4.82
4cr9	4.10
4cra	7.22
4crc	8.72
4ddh	3.30
4ddk	2.29
4de1	5.96
4de2	4.12
4de3	5.52
4djv	6.72
4dld	5.82
4dli	5.62
4e5w	7.66
4e6q	8.36
4ea2	6.44
4eky	3.52
4eo8	8.15
4eor	6.30
4f09	6.70
4f2w	11.30
4f3c	11.82
4f9w	6.94
4gfm	7.22
4gid	10.77
4gkm	5.17
4gr0	9.55
4hge	7.92
4ih5	4.11
4ih7	5.24
4ivb	8.72
4ivc	10.00
4ivd	9.52
4j21	7.41
4j28	5.70
4j3l	7.80
4jfs	5.27
4jia	9.22
4jsz	2.30
4jxs	4.74
4k18	8.96
4k77	6.63
4kz6	3.10
4kzq	6.10
4kzu	6.50
4llx	2.89
4lzs	4.80
4m0y	6.46
4m0z	5.19
4mgd	4.69
4mme	6.50
4ogj	6.79
4owm	2.96
4pcs	7.85
4qac	9.40
4qd6	8.64
4rfm	10.05
4tmn	10.17
4twp	10.00
4ty7	9.52
4u4s	2.92
4w9c	4.65
4w9h	6.73
4w9i	5.96
4w9l	5.02
4wiv	6.26
4x6p	8.30
5a7b	3.57
5aba	2.98
5c28	5.66
5c2h	11.09
5dwr	11.22
5tmn	8.04
