id,score,uM,pkd,flag
1g9v,6.744,,,0
1gkc,4.8757,,,0
1gm8,4.2294,16,4.795880017,4
1gpk,7.0961,4.3,5.366531544,2
1hnn,6.1904,0.58,6.236572006,2
1hp0,5.3715,0.2,6.698970004,2
1hq2,5.2207,0.17,6.769551079,2
1hvy,5.5978,0.67,6.173925197,2
1hwi,7.0923,0.028,7.552841969,1
1hww,5.7443,0.02,7.698970004,1
1ia1,6.1633,0.034,7.468521083,1
1ig3,5.1893,,,0
1j3j,6.4578,0.0098,8.008773924,2
1jd0,5.6638,0.0057,8.244125144,2
1jje,7.771,0.0037,8.431798276,1
1jla,7.8996,,,0
1k3u,7.9051,,,0
1ke5,6.2264,0.56,6.251811973,1
1kzk,10.0007,0.000041,10.38721614,2
1l2s,4.2661,26,4.585026652,2
1l7f,5.9747,0.0008,9.096910013,1
1lpz,7.4854,0.025,7.602059991,2
1lrh,6.0706,,,0
1m2z,9.4768,0.06,7.22184875,2
1meh,5.4949,,,0
1mmv,7.0156,0.057,7.244125144,2
1mzc,8.2881,0.00006,10.22184875,1
1n1m,5.663,2,5.698970004,2
1n2j,1.5705,,,0
1n2v,3.6913,83,4.080921908,2
1n46,11.4389,0.00003,10.52287875,2
1nav,6.8082,0.025,7.602059991,1
1of1,7.2769,4.1,5.387216143,4
1of6,5.0783,0.9,6.045757491,2
1opk,6.8884,0.00015,9.823908741,1
1oq5,8.081,0.0021,8.677780705,1
1owe,5.6574,0.631,6.199970641,2
1oyt,7.399,0.057,7.244125144,2
1p2y,6.2386,10,5,4
1p62,6.6691,22,4.657577319,4
1pmn,8.4067,0.007,8.15490196,1
1q1g,7.044,0.0027,8.568636236,2
1q41,6.9895,0.022,7.657577319,1
1q4g,6.1229,0.13,6.886056648,2
1r1h,9.3106,0.0012,8.920818754,2
1r55,6.0754,0.16,6.795880017,2
1r58,7.8994,0.11,6.958607315,1
1r9o,4.9182,9.6,5.017728767,4
1s19,9.6628,0.0017,8.769551079,1
1s3v,7.9215,0.038,7.420216403,1
1sg0,5.4748,0.034,7.468521083,2
1sj0,8.3523,0.0008,9.096910013,1
1sq5,4.2721,41,4.387216143,4
1sqn,9.2481,0.0004,9.397940009,2
1t40,8.2216,0.011,7.958607315,1
1t46,8.369,0.413,6.384049948,1
1t9b,6.8385,0.127,6.896196279,2
1tow,6.6301,0.57,6.244125144,1
1tt1,7.6468,64.6,4.189767482,2
1tz8,5.3252,,,0
1u1c,6.0765,4.3,5.366531544,2
1u4d,6.2652,,,0
1uml,7.8704,0.03,7.522878745,2
1unl,8.9147,0.2,6.698970004,1
1uou,7.8929,0.02,7.698970004,1
1v0p,7.9398,0.13,6.886056648,1
1v48,7.9703,0.0069,8.161150909,2
1v4s,5.6404,1000,3,4
1vcj,6.4122,26,4.585026652,1
1w1p,3.8615,5000,2.301029996,1
1w2g,4.6764,27,4.568636236,2
1x8x,4.5494,,,0
1xm6,6.0361,0.42,6.37675071,1
1xoq,7.7701,0.00068,9.167491087,1
1xoz,6.1326,0.0012,8.920818754,1
1y6b,8.1292,0.038,7.420216403,1
1ygc,7.4628,0.00035,9.455931956,2
1yqy,7.5377,0.024,7.619788758,2
1yv3,6.5597,4.9,5.30980392,1
1yvf,7.2737,0.1,7,1
1ywr,8.5442,0.032,7.494850022,1
1z95,8.9788,0.076,7.119186408,2
2bm2,5.6437,0.015,7.823908741,2
2br1,6.5242,15.4,4.812479279,1
2bsm,7.1368,0.14,6.853871964,1
