#id	score
1g9v	6.7440
1gkc	4.8757
1gm8	4.2294
1gpk	7.0961
1hnn	6.1904
1hp0	5.3715
1hq2	5.2207
1hvy	5.5978
1hwi	7.0923
1hww	5.7443
1ia1	6.1633
1ig3	5.1893
1j3j	6.4578
1jd0	5.6638
1jje	7.7710
1jla	7.8996
1k3u	7.9051
1ke5	6.2264
1kzk	10.0007
1l2s	4.2661
1l7f	5.9747
1lpz	7.4854
1lrh	6.0706
1m2z	9.4768
1meh	5.4949
1mmv	7.0156
1mzc	8.2881
1n1m	5.6630
1n2j	1.5705
1n2v	3.6913
1n46	11.4389
1nav	6.8082
1of1	7.2769
1of6	5.0783
1opk	6.8884
1oq5	8.0810
1owe	5.6574
1oyt	7.3990
1p2y	6.2386
1p62	6.6691
1pmn	8.4067
1q1g	7.0440
1q41	6.9895
1q4g	6.1229
1r1h	9.3106
1r55	6.0754
1r58	7.8994
1r9o	4.9182
1s19	9.6628
1s3v	7.9215
1sg0	5.4748
1sj0	8.3523
1sq5	4.2721
1sqn	9.2481
1t40	8.2216
1t46	8.3690
1t9b	6.8385
1tow	6.6301
1tt1	7.6468
1tz8	5.3252
1u1c	6.0765
1u4d	6.2652
1uml	7.8704
1unl	8.9147
1uou	7.8929
1v0p	7.9398
1v48	7.9703
1v4s	5.6404
1vcj	6.4122
1w1p	3.8615
1w2g	4.6764
1x8x	4.5494
1xm6	6.0361
1xoq	7.7701
1xoz	6.1326
1y6b	8.1292
1ygc	7.4628
1yqy	7.5377
1yv3	6.5597
1yvf	7.2737
1ywr	8.5442
1z95	8.9788
2bm2	5.6437
2br1	6.5242
2bsm	7.1368
