ligand	affinity
10gs_ligand	6.1659
1a30_ligand	5.4347
1bcu_ligand	4.1086
1e66_ligand	6.9252
1f8b_ligand	4.4471
1f8c_ligand	6.0446
1f8d_ligand	2.8143
1gpk_ligand	7.0503
1h23_ligand	8.7580
1hfs_ligand	8.3040
1hnn_ligand	5.7786
1igj_ligand	10.7544
1jyq_ligand	8.9445
1kel_ligand	7.2718
1lbk_ligand	3.0964
1lol_ligand	4.6190
1loq_ligand	3.4398
1lor_ligand	5.0300
1mq6_ligand	8.8384
1n1m_ligand	5.4438
1n2v_ligand	3.6161
1nvq_ligand	7.2125
1o3f_ligand	6.8289
1o5b_ligand	4.9414
1os0_ligand	5.7900
1oyt_ligand	6.8025
1p1q_ligand	5.4722
1ps3_ligand	4.7189
1q8t_ligand	6.0462
1q8u_ligand	5.5883
1qi0_ligand	2.5041
1r5y_ligand	6.2625
1sln_ligand	7.3706
1sqa_ligand	7.2400
1u1b_ligand	5.9585
1u33_ligand	3.7398
1uto_ligand	3.2124
1vso_ligand	4.4849
1w3k_ligand	4.3127
1w3l_ligand	5.7623
1w4o_ligand	4.1896
1xd0_ligand	7.3640
1yc1_ligand	7.6143
1z95_ligand	8.5772
1zea_ligand	4.7902
2brb_ligand	5.3572
2cbj_ligand	8.0005
2cet_ligand	7.3844
2d1o_ligand	8.3016
2d3u_ligand	6.3389
2fvd_ligand	6.9989
2g70_ligand	4.2672
2gss_ligand	4.1896
2hb1_ligand	3.0505
2iwx_ligand	5.4990
2j62_ligand	11.0497
2j78_ligand	6.2756
2jdm_ligand	4.1181
2jdu_ligand	5.2788
2jdy_ligand	2.9755
2obf_ligand	7.7889
2ole_ligand	6.9102
2p4y_ligand	7.8846
2pcp_ligand	8.2449
2pq9_ligand	7.6044
2qbp_ligand	6.6445
2qbr_ligand	6.0745
2qft_ligand	4.9355
2qmj_ligand	5.9642
2r23_ligand	3.6141
2v00_ligand	4.9946
2v7a_ligand	7.5497
2vl4_ligand	5.1323
2vo5_ligand	5.3876
2vot_ligand	7.1934
2vvn_ligand	5.3967
2vw5_ligand	6.6993
2w66_ligand	4.1184
2wbg_ligand	6.4020
2wca_ligand	5.5317
2weg_ligand	6.5546
2wtv_ligand	7.8347
2x00_ligand	9.0088
2x0y_ligand	4.1874
2x8z_ligand	7.6100
2x97_ligand	5.7477
2xb8_ligand	6.7225
2xbv_ligand	8.1541
2xdl_ligand	4.7404
2xhm_ligand	6.7248
2xnb_ligand	7.2504
2xy9_ligand	9.3443
2xys_ligand	6.6411
2y5h_ligand	7.2169
2yfe_ligand	5.2899
2yge_ligand	5.8165
2yki_ligand	8.8566
2ymd_ligand	5.9525
2zcq_ligand	4.8253
2zcr_ligand	6.5227
2zjw_ligand	7.0399
2zwz_ligand	8.0806
2zx6_ligand	10.2284
2zxd_ligand	4.7752
3acw_ligand	6.8076
3ag9_ligand	7.8472
3ao4_ligand	5.1685
3b3s_ligand	1.3989
3b3w_ligand	3.4017
3b68_ligand	7.7673
3bfu_ligand	5.7345
3bkk_ligand	6.2804
3bpc_ligand	3.6529
3cft_ligand	3.4981
3cj2_ligand	4.7397
3coy_ligand	6.1908
3cyx_ligand	8.0368
3d4z_ligand	5.7491
3dd0_ligand	8.9583
3dxg_ligand	3.0144
3e93_ligand	8.4823
3ebp_ligand	4.6852
3ehy_ligand	6.6946
3ejr_ligand	7.3559
3f17_ligand	8.5911
3f3a_ligand	5.2686
3f3c_ligand	6.3518
3f3e_ligand	5.9928
3f80_ligand	3.8401
3fcq_ligand	3.0818
3fk1_ligand	5.3556
3fv1_ligand	7.9135
3g0w_ligand	9.6976
3g2n_ligand	4.4676
3g2z_ligand	2.2014
3gbb_ligand	6.5982
3gcs_ligand	6.4416
3ge7_ligand	7.4540
3gnw_ligand	8.2116
3gy4_ligand	3.1457
3huc_ligand	5.9152
3i3b_ligand	2.7122
3imc_ligand	2.0506
3ivg_ligand	6.6713
3jvs_ligand	6.3696
3k5v_ligand	6.4867
3kgp_ligand	2.5393
3kv2_ligand	5.4234
3kwa_ligand	6.1616
3l3n_ligand	8.4661
3l4u_ligand	6.5234
3l4w_ligand	4.9444
3l7b_ligand	5.9206
3lka_ligand	4.6288
3mfv_ligand	1.6065
3mss_ligand	4.9224
3muz_ligand	3.1779
3myg_ligand	7.5739
3n7a_ligand	4.3303
3n86_ligand	5.4146
3nox_ligand	8.0142
3nq3_ligand	3.2884
3nw9_ligand	7.7753
3oe5_ligand	6.3430
3ov1_ligand	5.1624
3owj_ligand	5.4294
3ozt_ligand	5.0536
3pe2_ligand	9.4805
3pww_ligand	7.2201
3pxf_ligand	4.1589
3s8o_ligand	6.7851
3su2_ligand	6.9825
3su3_ligand	8.6615
3su5_ligand	5.8668
3u9q_ligand	3.9886
3udh_ligand	4.5685
3ueu_ligand	5.2237
3uex_ligand	6.0666
3uo4_ligand	6.5197
3uri_ligand	6.5290
3utu_ligand	7.3858
3vd4_ligand	3.4262
3vh9_ligand	5.3728
3zso_ligand	6.8544
3zsx_ligand	3.7953
4de1_ligand	4.3161
4de2_ligand	4.4419
4des_ligand	5.1791
4dew_ligand	6.8465
4djr_ligand	11.6987
4djv_ligand	6.4694
4g8m_ligand	7.4771
4gid_ligand	8.5948
4gqq_ligand	3.1248
4tmn_ligand	6.1534
