#id,pdbid,true,score
1, 10gs ,6.4,6.27353
101, 1ua4 ,4.22,5.103454599999999
102, 1ugx ,5.91,4.732482
104, 1ui0 ,7.06,6.324953
105, 1urg ,5.82,5.2173386
107, 1utm ,3.01,6.92665
109, 1uwu ,5.98,5.479171
110, 1uz1 ,6.89,5.0817394
111, 1uz4 ,3.4,5.3733344
113, 1v0l ,6.32,6.1864147
114, 1v1j ,4.82,5.1075897
115, 1w2g ,4.57,6.8928804
119, 1ws4 ,3.0,4.085535
121, 1x8d ,2.21,4.443985
122, 1x9d ,3.96,5.1331654
124, 1xge ,4.68,6.4380474
126, 1y0l ,9.0,7.9957438
127, 1y1m ,1.82,4.244839700000001
128, 1y1z ,3.08,4.963479
129, 1y20 ,5.32,4.671007599999999
130, 1yc1 ,6.17,6.892233999999999
131, 1ydk ,5.89,5.7957745
132, 1z95 ,7.12,7.8935832999999995
135, 1zhy ,6.52,7.305772999999999
138, 2aac ,2.22,5.2484044999999995
139, 2afx ,5.15,6.476651
140, 2ayr ,9.29,8.556783
141, 2azr ,3.64,4.5812364
142, 2b07 ,6.43,6.9661217
147, 2boh ,8.52,8.175424000000001
148, 2boj ,5.77,4.595544
150, 2brb ,4.86,6.702797
151, 2bvd ,6.0,6.303443
152, 2byr ,8.55,6.632939299999999
153, 2cji ,8.22,8.417423
154, 2d3u ,6.92,6.970609700000001
155, 2d3z ,6.64,6.6918372999999995
160, 2f5t ,5.17,5.1085005
167, 2fai ,6.24,6.8316936
168, 2fdp ,7.59,7.703052499999999
169, 2ff1 ,8.21,7.925267999999999
170, 2fpz ,3.96,6.388068
171, 2fqt ,6.14,5.5495443
172, 2fqw ,6.68,5.623971
173, 2fqx ,7.15,5.2622795
174, 2fqy ,6.57,5.5498056
175, 2fvd ,8.52,7.4063854000000005
176, 2fw6 ,2.92,4.9027357
178, 2fxu ,8.15,6.692833
18, 1duv ,11.8,5.790604599999999
180, 2h6b ,5.39,5.825621599999999
182, 2hb1 ,3.8,4.6915903
184, 2hdq ,1.4,4.3398333
185, 2hdr ,1.72,4.789036
187, 2i0a ,11.4,9.088109
188, 2i0d ,12.1,9.257925
19, 1dy4 ,4.36,6.446801
190, 2il2 ,7.1,6.951595299999999
192, 2iwx ,6.68,5.9088907
193, 2j2u ,7.05,8.691162
194, 2j34 ,7.82,8.006097
195, 2j4i ,9.0,7.952269599999999
196, 2j78 ,6.42,5.9703045
2, 1a8i ,5.52,5.118662400000001
20, 1e2k ,4.94,7.080825
201, 1bcj ,3.7,6.691963
202, 1bky ,3.84,3.7754745
204, 1d4i ,8.85,8.291739999999999
205, 1d4j ,8.36,8.758178
207, 1eby ,9.7,7.724086
208, 1ebz ,9.4,7.7071295
209, 1ec0 ,8.49,8.989510000000001
210, 1ec1 ,8.92,7.3392334
211, 1ec2 ,10.0,6.908317599999999
213, 1enu ,5.08,6.336156
214, 1f74 ,3.05,6.157822599999999
215, 1gi9 ,5.96,7.3755817
217, 1gww ,4.28,5.366988
218, 1gx0 ,4.28,5.305544
220, 1o5a ,6.42,7.935600999999999
222, 1o5r ,8.12,8.370453999999999
223, 1q4w ,6.46,5.542333599999999
224, 1qkt ,9.04,7.3513117
225, 1qxl ,7.96,7.8978806
226, 1rdi ,2.06,4.7832574999999995
227, 1rdn ,1.84,4.547261
23, 1fcx ,7.12,6.922494
230, 1tr7 ,6.82,5.164955
232, 1usi ,6.74,5.4422083
